"Material Name","Material Type","Base Color (F0)","Metalness","Specular Color","Specular Color (F82)","Density (kg/m3)","Relative Luminance","Description","References","Tags","MaterialX Download URL","Physics","Misc"
"Brick","Non-Metal","0.262,0.095,0.061","0","","","500","0.128","","Palmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2025-01-26)\nWikipedia contributors, ""Brick"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""Absorption (acoustics)"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nJCW Acoustic Supplies, ""Absorption coefficients of common building materials and finishes"", (Accessed: 2025-01-26)\nAcoustic Materials & Technologies Ltd., ""Absorption Coefficients"", (Accessed: 2025-01-26)","","blob:https://physicallybased.info/a6cab7df-4c8c-4058-8d75-208a13bc2460","Density: 500-2400 kg/m3","Relative Luminance: 0.128"
"Car Paint","Non-Metal","0.100,0.100,0.100","0","","","","0.100","Modern car paints are nearly always an acrylic polyurethane ""enamel"" with a pigmented basecoat and a clear topcoat. It may be described as ""acrylic"", ""acrylic enamel"", ""urethane"", etc. and the clearcoat in particular may be described as a lacquer. The size of the metal flakes in metallic paints is typically between 100 to 400 microns in diameter. Modern automobile paint is applied in several layers, with a total thickness of around 100 μm (0.1mm).","Wikipedia contributors, ""Automotive Paint"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""Acrylic Lacquers"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWittmann, B., Montmitonnet, P., Burr, A., Gauthier, C., Agassant, J-F. & Casoli, A., (2021), ""BRDF and gloss computation of polyurethane coatings from roughness measurements: Modelling and experimental validation"", Progress in Organic Coatings, 156,(0300-9440), 106247\nIwazumi, M., Schneider, A., (2011), ""High Refractive Index Aqueous Polyurethane Dispersion Coating Compositions"", SDC TECHNOLOGIES, INC.\nCande Shop, ""Metal Flake for Cars: History & 15 Things You Didn't Know"", (Accessed: 2025-01-26)\nUltimate Finish The Detailing Company, ""Understanding Modern Automotive Paintwork"", (Accessed: 2025-01-26)","acrylic, coat, car paint, lacquer","blob:https://physicallybased.info/0f2ae19e-d246-4607-bc4d-428b262fce23","","Relative Luminance: 0.100"
"Cardboard","Non-Metal","0.351,0.208,0.110","0","","","700","0.231","The material commonly referred to as ""cardboard"" is more specifically named ""corrugated fiberboard"".","Palmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2026-03-07)\nWikipedia contributors, ""Cardboard"", Wikipedia, The Free Encyclopedia, (Accessed: 2026-03-07)\nWikipedia contributors, ""Corrugated Fiberboard"", Wikipedia, The Free Encyclopedia, (Accessed: 2026-03-07)\n""Solids - Densities "", The Engineering ToolBox, (Accessed: 2026-03-07)","corrugated fiberboard","blob:https://physicallybased.info/3c8b1b10-c7cc-423b-ad47-01e9dafaaac7","Density: 700 kg/m3","Relative Luminance: 0.231"
"Carrot","Non-Metal","0.713,0.170,0.026","0","","","","0.275","","Jakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2025-01-26)","","blob:https://physicallybased.info/c954b77c-073d-42d8-a96f-950a22928a7c","","Relative Luminance: 0.275"
"Cesium","Metal","0.718,0.554,0.237","1","0.997,1.002,1.073","1.087,1.180,1.440","1886","0.566","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-25)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Caesium"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-06-25)","caesium","blob:https://physicallybased.info/4f2214c6-819d-4c80-a4c1-8b5854253f83","Density: 1886 kg/m3","Relative Luminance: 0.566"
"Charcoal","Non-Metal","0.020,0.020,0.020","0","","","200","0.020","","Lagarde, S., ""Feeding a Physically Based Shading Model"", (Accessed: 2025-01-26)\nBrejon, C., ""Albedo And Pointer's Gamut"", (Accessed: 2025-01-26)\nUkrainian Biofuel Suppliers, ""Physical properties of charcoal"", (Accessed: 2025-01-26)\nWikipedia contributors, ""Activated Carbon"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/8151ad8f-9ea8-431c-95da-fa6e502c9afe","Density: 200-500 kg/m3","Relative Luminance: 0.020"
"Chocolate","Non-Metal","0.162,0.091,0.060","0","","","1229","0.104","","Palmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2025-01-26)\nWikipedia contributors, ""Chocolate (color)"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nBanks, H., (2012), ""The Density of Chocolate"", H&D Fitzgerald Ltd","sss","blob:https://physicallybased.info/0969f804-8128-45cd-a83f-72ba3cdd86e8","Density: 1229-1336 kg/m3","Relative Luminance: 0.104"
"Chromium","Metal","0.654,0.685,0.701","1","0.591,0.675,0.703","0.688,0.728,0.798","7200","0.680","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-01-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","chrome","blob:https://physicallybased.info/af9abf30-2a0c-4de7-b3ae-268deb42ab43","Density: 7200 kg/m3","Relative Luminance: 0.680"
"Cobalt","Metal","0.699,0.704,0.671","1","0.731,0.775,0.715","0.727,0.772,0.823","8900","0.701","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-01-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nLagarde, S., ""Feeding a Physically Based Shading Model"", (Accessed: 2025-01-26)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/3f7a24b6-7e05-42ee-b2db-1ceb9bce10f3","Density: 8900 kg/m3","Relative Luminance: 0.701"
"Coffee","Non-Metal","","0","","","1020","","","Palmqvist, A., ""Photo Reference"", Physically Based Database, (Accessed: 2025-01-26)\nViani, R., & Illy, A., (2005), ""Espresso Coffee: The Science of Quality"", Elsevier, 292","sss","blob:https://physicallybased.info/14136017-2012-4925-a5d8-aa88475c6619","Density: 1020 kg/m3\nViscosity: 1.7 mPa⋅s",""
"Concrete","Non-Metal","0.510,0.510,0.510","0","","","2400","0.510","","Lagarde, S., ""Feeding a Physically Based Shading Model"", (Accessed: 2025-01-26)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""Absorption (acoustics)"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nJCW Acoustic Supplies, ""Absorption coefficients of common building materials and finishes"", (Accessed: 2025-01-26)\nAcoustic Materials & Technologies Ltd., ""Absorption Coefficients"", (Accessed: 2025-01-26)","","blob:https://physicallybased.info/65cfc321-6597-4585-94f2-156c9a29c17d","Density: 2400 kg/m3","Relative Luminance: 0.510"
"Cooking Oil","Non-Metal","","0","","","920","","","Ting Ting, L., Elert, G. (Ed.), ""Index of Refraction of Vegetable Oil"", The Physics Factbook, (Accessed: 2025-01-26)\nWikipedia contributors, ""List of Refractive Indices"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""List of Viscosities"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nDiamante, M. L. & Tianying, L., (2014), ""Absolute Viscosities of Vegetable Oils at Different Temperatures and Shear Rate Range of 64.5 to 4835 s-1"", Journal of Food Processing, 2014,(1), 234583\nRealFlow 10 Documentation, ""Hybrido Viscosity Table"", Next Limit Technologies, (Accessed: 2025-01-26)\nSahasrabudhe, S. N., Rodriguez-Martinez, V., O'Meara, Meghan., & Farkas, B. E., (2017), ""Density, Viscosity, And Surface Tension Of Five Vegetable Oils At Elevated Temperatures: Measurement And Modeling"", International Journal of Food Properties, 20,(sup2), 1965---1981","","blob:https://physicallybased.info/56921934-2603-428a-99c9-d9d33b590b80","Density: 920 kg/m3\nViscosity: 46 mPa⋅s\nSurface Tension: 31 mN/m",""
"Copper","Metal","0.932,0.623,0.522","1","0.999,0.900,0.744","0.982,0.947,0.945","8940","0.681","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-01-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/fbd0ba4d-08ef-44eb-8017-99730d78d745","Density: 8940 kg/m3","Relative Luminance: 0.681"
"Diamond","Non-Metal","","0","","","3500","","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-01-26)\nPolyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-01-26)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","gem, gemstone","blob:https://physicallybased.info/9008845f-b651-4323-8882-832389ed5ac1","Density: 3500 kg/m3",""
"Egg Shell (Brown)","Non-Metal","0.493,0.248,0.123","0","","","","0.291","Brown hen egg from grocery store.","Palmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2026-03-07)\nWikipedia contributors, ""Eggs as Food"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/1b542ca2-e7a5-45c1-bdd3-941b805bc990","","Relative Luminance: 0.291"
"Egg Shell (White)","Non-Metal","0.610,0.624,0.631","0","","","","0.622","White hen egg from grocery store.","Palmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2025-01-26)\nWikipedia contributors, ""Eggs as Food"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/7e165c76-4e27-4dc3-a386-e7627930cf10","","Relative Luminance: 0.622"
"Eye (Cornea)","Non-Metal","","0","","","","","","Wikipedia contributors, ""Cornea"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nPatel, S., Tutchenko, L., (2019), ""The refractive index of the human cornea: A review"", Contact Lens and Anterior Eye, 42,(5), 575---580","","blob:https://physicallybased.info/68e5c799-9b41-4a3c-9ad4-7c1a237758cd","",""
"Eye (Lens)","Non-Metal","","0","","","","","The refractive index of human lens varies from approximately 1.406 in the central layers down to 1.386 in less dense layers of the lens. This index gradient enhances the optical power of the lens.","Wikipedia contributors, ""Lens (vertebrate anatomy)"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nPierscionek, K. B., (1994), ""Refractive Index of the Human Lens Surface Measured with an Optic Fibre Sensor"", Ophthalmic Research, 26,(1), 32---35","","blob:https://physicallybased.info/c8184012-b85c-47ec-accc-064ee08e1f5c","",""
"Eye (Sclera)","Non-Metal","0.652,0.500,0.394","0","","","1020","0.525","","Bashkatov, A. N., Genina, E. A., Kochubey, V. I. & Tuchin, V. V., (2010), ""Optical properties of human sclera in spectral range 370-2500 nm"", Optics and Spectroscopy, 109,(2), 197---204\nJimenez, J., ""Next Generation Character Rendering"", (Accessed: 2025-01-26)\n""The Wikihuman Project"", USC Institute for Creative Technologies, (Accessed: 2025-07-13)\n""Louise - A virtual Model Digital Double"", Eisko, (Accessed: 2025-07-14)","","blob:https://physicallybased.info/28b632bc-e8d7-461e-8d41-d9009153b41a","Density: 1020 kg/m3","Relative Luminance: 0.525"
"Gasoline","Non-Metal","","0","","","770","","","Wikipedia contributors, ""Gasoline"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nButcher, A. J., Aleiferis, P. G. & Richardson, D., (2013), ""Development of a real-size optical injector nozzle for studies of cavitation, spray formation and flash-boiling at conditions relevant to direct-injection spark-ignition engines"", International Journal of Engine Research, 14,(6), 557---577\n""Fuels - Densities and Specific Volumes"", The Engineering ToolBox, (Accessed: 2025-01-26)\nNave, R. C., ""Viscosity of Liquids and Gases"", HyperPhysics, (Accessed: 2025-01-26)","petrol, fuel","blob:https://physicallybased.info/02921dd5-43b4-46d9-af8a-320ec963ccff","Density: 770 kg/m3\nViscosity: 0.6 mPa⋅s",""
"Germanium","Metal","0.500,0.517,0.465","1","0.068,0.179,0.002","0.620,0.653,0.701","5327","0.510","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-29)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Germanium"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-06-29)","","blob:https://physicallybased.info/eaf98fd9-75fa-4f83-903b-2caa419a72f0","Density: 5327 kg/m3","Relative Luminance: 0.510"
"Glass","Non-Metal","","0","","","2500","","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-01-26)\nWikipedia contributors, ""Soda-lime Glass"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nJCW Acoustic Supplies, ""Absorption coefficients of common building materials and finishes"", (Accessed: 2025-01-26)\nAcoustic Materials & Technologies Ltd., ""Absorption Coefficients"", (Accessed: 2025-01-26)","","blob:https://physicallybased.info/ab49e91a-e834-4521-b664-cef7a5e1b5c9","Density: 2500 kg/m3",""
"Gold","Metal","1.059,0.773,0.307","1","1.001,0.985,0.523","0.971,1.018,0.994","19320","0.800","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/1c5b7b70-48b2-4767-a30b-c153788f2991","Density: 19320 kg/m3","Relative Luminance: 0.800"
"Grass","Non-Metal","0.105,0.133,0.041","0","","","","0.120","","Jakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2026-02-10)\nJakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2026-02-10)\nLuo, M. R., (2024), ""The New Preferred Memory Color (PMC) Chart"", Color Research & Application, 49,(6), 564---576","","blob:https://physicallybased.info/20a39b6d-d57e-4ed1-9466-6a241dabd1fc","","Relative Luminance: 0.120"
"Gray Card","Non-Metal","0.180,0.180,0.180","0","","","","0.180","In photography and computer graphics, middle gray is a tone that is perceptually about halfway between black and white on a lightness scale. Light meters and cameras are often calibrated using an 18% gray card or a color reference card such as a ColorChecker. It is typically defined as 18% reflectance in visible light.","Wikipedia contributors, ""Gray Card"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-05-17)\n""New Color Specifications for ColorChecker SG and Classic Charts"", X-Rite, Inc., (Accessed: 2025-05-17)\n""The Colorchecker Pages"", The BabelColor Company, (Accessed: 2025-05-17)\nColour Developers, ""Colour Rendition Chart"", (Accessed: 2025-05-17)","grey, middle gray","blob:https://physicallybased.info/4165498e-3a62-4699-812d-4ba7fd813526","","Relative Luminance: 0.180"
"Honey (Liquid)","Non-Metal","","0","","","1380","","Variations in its water content alter its refractive index. Typically, the refractive index for honey ranges from 1.504 at 13% water content to 1.474 at 25%. Fresh honey is liquid and clear but with time it crystallizes and becomes thicker and less clear. The crystallization depends on temperature and the ratio of glucose and fructose.","Wikipedia contributors, ""Honey"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""List of Viscosities"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\n""The Color of Honey"", Carolina Honeybees, (Accessed: 2025-01-26)\nTomasik, P. (Ed.), (2003), ""Chemical and Functional Properties of Food Saccharides"", CRC Press, 74\n""Viscosity of Flower Honey (Blended)"", Anton Paar GmbH, (Accessed: 2025-01-26)\nRealFlow 10 Documentation, ""Hybrido Viscosity Table"", Next Limit Technologies, (Accessed: 2025-01-26)\n""Viscosity - Absolute (Dynamic) vs. Kinematic "", The Engineering ToolBox, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/324c7edb-1d60-4d6b-b4c1-78dacd26a8b0","Density: 1380-1450 kg/m3\nViscosity: 2000-15000 mPa⋅s",""
"Honey (Crystallized)","Non-Metal","0.449,0.319,0.011","0","","","1380","0.324","Variations in its water content alter its refractive index. Typically, the refractive index for honey ranges from 1.504 at 13% water content to 1.474 at 25%. Fresh honey is liquid and clear but with time it crystallizes and becomes thicker and less clear. The crystallization depends on temperature and the ratio of glucose and fructose.","Wikipedia contributors, ""Honey"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""List of Viscosities"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\n""The Color of Honey"", Carolina Honeybees, (Accessed: 2025-01-26)\nTomasik, P. (Ed.), (2003), ""Chemical and Functional Properties of Food Saccharides"", CRC Press, 74\n""Viscosity of Flower Honey (Blended)"", Anton Paar GmbH, (Accessed: 2025-01-26)\nRealFlow 10 Documentation, ""Hybrido Viscosity Table"", Next Limit Technologies, (Accessed: 2025-01-26)\n""Viscosity - Absolute (Dynamic) vs. Kinematic "", The Engineering ToolBox, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/5c4cfe73-9869-4740-925f-25e81c82391f","Density: 1380-1450 kg/m3\nViscosity: 2000-15000 mPa⋅s","Relative Luminance: 0.324"
"Ice","Non-Metal","","0","","","917","","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-01-26)\nPolyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-01-26)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""Optical Properties of Water and Ice"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","ice","blob:https://physicallybased.info/c5476f37-e91c-467e-93bd-2a6973caf65c","Density: 917 kg/m3",""
"Iridium","Metal","0.745,0.734,0.704","1","0.818,0.810,0.727","0.759,0.781,0.810","22562","0.734","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-29)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Iridium"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-06-29)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/e0a2a017-1e9f-4b18-b2cb-f74b9ff110fa","Density: 22562 kg/m3","Relative Luminance: 0.734"
"Iron","Metal","0.530,0.513,0.494","1","0.612,0.541,0.422","0.765,0.767,0.802","7870","0.515","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-01-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/d09cf33a-0335-418f-8706-3663ade11d09","Density: 7870 kg/m3","Relative Luminance: 0.515"
